time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
229,26,27,03,00
230,23,27,04,00
231,28,27,03,00
232,40,28,08,00
233,56,29,21,00
234,69,30,35,00
235,75,32,47,00
236,71,33,55,00
237,60,34,58,00
238,45,35,58,00
239,31,35,58,00
240,24,35,58,00
241,22,35,59,00
242,20,35,60,00
243,19,34,61,00
244,18,34,62,00
245,18,34,62,00
246,18,33,63,00
247,19,33,64,00
248,19,33,65,00
249,19,32,66,00
250,19,32,66,00
251,19,32,67,00
252,19,31,68,00
253,19,31,68,00
254,20,31,69,00
255,20,31,69,00
256,21,30,69,00
257,21,30,70,00
258,21,30,70,00
259,21,30,70,00
260,22,30,70,01
261,22,29,70,01
262,22,29,70,01
263,22,28,67,01
264,21,26,60,01
265,21,24,48,01
266,21,23,33,01
267,20,21,18,01
268,19,20,07,01
269,19,20,03,01
270,19,20,03,01
271,19,20,03,01
272,19,20,03,01
273,19,20,03,01
274,19,20,02,01
275,20,20,02,01
276,20,20,02,01
277,20,20,02,01
278,21,20,02,01
279,21,20,02,01
280,20,20,02,01
281,20,20,01,01
282,19,20,01,01
283,20,20,01,01
284,21,20,01,01
285,20,20,01,01
286,20,20,01,01
287,21,20,01,01
288,21,20,01,01
289,21,20,01,01
290,21,20,01,01
291,20,20,01,01
292,19,20,01,01
293,19,20,01,01
294,19,20,01,01
295,19,20,01,01
296,22,20,01,01
297,22,20,01,01
298,22,20,02,01
299,22,20,02,01
